paper,title,doi,openalex_title,sim_openalex
agile_2022_001,Geotechnology-based Spatial Learning: The Effects on Spatial Abilities and Sketch Maps in an Inter-Cultural Study,10.5194/agile-giss-3-1-2022,Geotechnology-based Spatial Learning: The Effects on Spatial Abilities and Sketch Maps in an Inter-Cultural Study,1.0
agile_2022_009,Geoparsing: Solved or Biased? An Evaluation of Geographic Biases in Geoparsing,10.5194/agile-giss-3-9-2022,Geoparsing: Solved or Biased? An Evaluation of Geographic Biases in Geoparsing,1.0
agile_2022_017,A method to produce metadata describing and assessing the quality of spatial landmark datasets in mountain area,10.5194/agile-giss-3-17-2022,A method to produce metadata describing and assessing the quality of spatial landmark datasets in mountain area,1.0
agile_2023_007,Is it safe to be attractive? Disentangling the influence of streetscape features on the perceived safety and attractiveness of city streets,10.5194/agile-giss-4-8-2023,Is it safe to be attractive? Disentangling the influence of streetscape features on the perceived safety and attractiveness of city streets,1.0
agile_2024_001,Developing a city-specific walkability index through a participatory approach,10.5194/agile-giss-5-2-2024,Developing a city-specific walkability index through a participatory approach,1.0
giscience_2016_014,Fine Scale Spatio-Temporal Modelling of Urban Air Pollution,10.1007/978-3-319-45738-3_14,Fine Scale Spatio-Temporal Modelling of Urban Air Pollution,1.0
giscience_2018_005,An Empirical Study on the Names of Points of Interest and Their Changes with Geographic Distance,10.4230/LIPIcs.GIScience.2018.5,An Empirical Study on the Names of Points of Interest and Their Changes with Geographic Distance,1.0
giscience_2018_013,A Network Flow Model for the Analysis of Green Spaces in Urban Areas,10.4230/LIPIcs.GIScience.2018.13,A Network Flow Model for the Analysis of Green Spaces in Urban Areas,1.0
giscience_2021_013,Analyzing Trajectory Gaps for Possible Rendezvous: A Summary of Results,10.4230/lipics.giscience.2021.i.13,Analyzing Trajectory Gaps for Possible Rendezvous: A Summary of Results,1.0
giscience_2021_021,Will You Take This Turn? Gaze-Based Turning Activity Recognition During Navigation,10.4230/lipics.giscience.2021.ii.5,Will You Take This Turn? Gaze-Based Turning Activity Recognition During Navigation,1.0
giscience_2021_029,Automated Georeferencing of Antarctic Species,10.4230/lipics.giscience.2021.ii.13,Automated Georeferencing of Antarctic Species,1.0
giscience_2023_004,Genetic Programming for Computationally Efficient Land Use Allocation Optimization,10.4230/LIPIcs.GIScience.2023.4,Genetic Programming for Computationally Efficient Land Use Allocation Optimization,1.0
agile_2017_007,Perspectives in Externalizations of Mental Spatial Representations,10.1007/978-3-319-56759-4_7,Perspectives in Externalizations of Mental Spatial Representations,1.0
agile_2018_005,"Spatio-Temporal Analysis of Mangrove Loss in Vulnerable Islands of Sundarban World Heritage Site, India",10.1007/978-3-319-78208-9_5,"Spatio-Temporal Analysis of Mangrove Loss in Vulnerable Islands of Sundarban World Heritage Site, India",1.0
agile_2018_013,Optimization and Evaluation of a High-Performance Open-Source Map-Matching Implementation,10.1007/978-3-319-78208-9_13,Optimization and Evaluation of a High-Performance Open-Source Map-Matching Implementation,1.0
agile_2020_007,Spatial Data Lake for Smart Cities: From Design to Implementation,10.5194/agile-giss-1-8-2020,Spatial Data Lake for Smart Cities: From Design to Implementation,1.0
agile_2020_015,Whom to Follow? A Comparison of Walking Routes Computed Based on Social Media Photos from Different Types of Contributors,10.5194/agile-giss-1-16-2020,Whom to Follow? A Comparison of Walking Routes Computed Based on Social Media Photos from Different Types of Contributors,1.0
agile_2017_015,Distance Measure Based on Spatiotemporal Coexistence of Residents and Its Application to Urban Analysis,10.1007/978-3-319-56759-4_15,Distance Measure Based on Spatiotemporal Coexistence of Residents and Its Application to Urban Analysis,1.0
agile_2019_004,Web-Based Visualization of Big Geospatial Vector Data,10.1007/978-3-030-14745-7_4,Web-Based Visualization of Big Geospatial Vector Data,1.0
agile_2019_012,Potential of Crowdsourced Traces for Detecting Updates in Authoritative Geographic Data,10.1007/978-3-030-14745-7_12,Potential of Crowdsourced Traces for Detecting Updates in Authoritative Geographic Data,1.0
