identity,name,group,conf,year,paper,consolidated_data,consolidated_methods,consolidated_results
orcid:0000-0001-9824-5388,Dominik Bucher,agile_pre,agile,2019,agile_2019_005,U,D,D
orcid:0000-0001-9824-5388,Dominik Bucher,giscience_post,giscience,2021,giscience_2021_020,D,A,A
orcid:0000-0002-0272-3320,Sébastien Mustière,giscience_pre,giscience,2018,giscience_2018_011,U,D,D
orcid:0000-0002-0272-3320,Sébastien Mustière,agile_pre,agile,2019,agile_2019_012,U,D,D
orcid:0000-0002-0369-7099,Margarita Kokla,agile_post,agile,2021,agile_2021_003,O,O,O
orcid:0000-0002-0369-7099,Margarita Kokla,agile_post,agile,2023,agile_2023_012,O,O,O
orcid:0000-0002-0456-8539,Henry Martin,agile_pre,agile,2018,agile_2018_015,U,D,D
orcid:0000-0002-0456-8539,Henry Martin,agile_pre,agile,2019,agile_2019_005,U,D,D
orcid:0000-0002-0456-8539,Henry Martin,giscience_post,giscience,2021,giscience_2021_020,D,A,A
orcid:0000-0002-0456-8539,Henry Martin,agile_post,agile,2022,agile_2022_003,U,A,D
orcid:0000-0002-0456-8539,Henry Martin,agile_post,agile,2022,agile_2022_019,D,A,D
orcid:0000-0002-0456-8539,"Martin, Henry",giscience_post,giscience,2023,giscience_2023_011,A,A,A
orcid:0000-0002-0882-1036,Thomas Bartoschek,agile_post,agile,2022,agile_2022_001,D,D,D
orcid:0000-0002-0882-1036,Thomas Bartoschek,agile_post,agile,2022,agile_2022_010,D,O,O
orcid:0000-0002-1001-783X,Derek Van Berkel,giscience_pre,giscience,2016,giscience_2016_011,U,D,D
orcid:0000-0002-1001-783X,Derek Van Berkel,giscience_pre,giscience,2018,giscience_2018_016,U,D,D
orcid:0000-0002-1101-1333,Ana‐Maria Olteanu‐Raimond,agile_pre,agile,2019,agile_2019_012,U,D,D
orcid:0000-0002-1101-1333,Ana‐Maria Olteanu‐Raimond,agile_post,agile,2022,agile_2022_017,O,A,A
orcid:0000-0002-1101-1333,Ana-Maria Olteanu-Raimond,agile_post,agile,2023,agile_2023_002,A,A,A
orcid:0000-0002-1247-6212,Ross K. Meentemeyer,giscience_pre,giscience,2016,giscience_2016_011,U,D,D
orcid:0000-0002-1247-6212,Ross K. Meentemeyer,giscience_pre,giscience,2018,giscience_2018_016,U,D,D
orcid:0000-0002-1511-5770,Gabriel Dax,agile_post,agile,2021,agile_2021_001,D,A,D
orcid:0000-0002-1511-5770,"Dax, Gabriel",giscience_post,giscience,2023,giscience_2023_007,D,A,A
orcid:0000-0002-2267-4810,Simon Scheider,agile_pre,agile,2018,agile_2018_007,A,A,A
orcid:0000-0002-2267-4810,Simon Scheider,agile_pre,agile,2019,agile_2019_009,A,A,A
orcid:0000-0002-2267-4810,Simon Scheider,agile_post,agile,2023,agile_2023_009,A,A,A
orcid:0000-0002-2399-1797,Anahid Basiri,agile_post,agile,2022,agile_2022_015,A,A,A
orcid:0000-0002-2399-1797,Anahid Basiri,agile_post,agile,2024,agile_2024_011,O,O,O
orcid:0000-0002-2399-1797,Anahid Basiri,agile_post,agile,2024,agile_2024_013,D,D,D
orcid:0000-0002-2556-5230,Ioannis Giannopoulos,giscience_pre,giscience,2016,giscience_2016_021,U,D,D
orcid:0000-0002-2556-5230,"Giannopoulos, Ioannis",giscience_pre,giscience,2018,giscience_2018_003,U,D,D
orcid:0000-0002-2556-5230,Ioannis Giannopoulos,agile_pre,agile,2019,agile_2019_006,D,D,D
orcid:0000-0002-2556-5230,Ioannis Giannopoulos,agile_post,agile,2021,agile_2021_013,O,O,O
orcid:0000-0002-2556-5230,Ioannis Giannopoulos,giscience_post,giscience,2021,giscience_2021_021,D,D,A
